group,iso,text,headline,day,month,year
Priznanje,MD,Priznanje Republike Slovenije,Moldavija,24,3,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Španija,25,3,1992
Priznanje,ZA,Priznanje Republike Slovenije,Južnoafriška republika,2,4,1992
Priznanje,US,Priznanje Republike Slovenije,Združene države Amerike,7,4,1992
Priznanje,GR,Priznanje Republike Slovenije,Grčija,11,4,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Argentina,13,4,1992
Priznanje,NI,Priznanje Republike Slovenije,Nikaragva,14,4,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Poljska,14,4,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Nikaragva,14,4,1992
Priznanje,KR,Priznanje Republike Slovenije,Republika Koreja,15,4,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Čile,15,4,1992
Priznanje,IL,Priznanje Republike Slovenije,Izrael,16,4,1992
Priznanje,EG,Priznanje Republike Slovenije,Egipt,16,4,1992
Priznanje,AE,Priznanje Republike Slovenije,Združeni arabski emirati,21,4,1992
Priznanje,SD,Priznanje Republike Slovenije,Sudan,21,4,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Francija,23,4,1992
Priznanje,DZ,Priznanje Republike Slovenije,Alžirija,24,4,1992
Priznanje,TN,Priznanje Republike Slovenije,Tunizija,25,4,1992
Priznanje,CN,Priznanje Republike Slovenije,Kitajska,27,4,1992
Priznanje,MA,Priznanje Republike Slovenije,Maroko,27,4,1992
Priznanje,OM,Priznanje Republike Slovenije,Sultanat Oman,28,4,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Izrael,28,4,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Egipt,30,4,1992
Priznanje,TH,Priznanje Republike Slovenije,Tajska,1,5,1992
Priznanje,MY,Priznanje Republike Slovenije,Malezija,4,5,1992
Priznanje,PH,Priznanje Republike Slovenije,Filipini,5,5,1992
Priznanje,VE,Priznanje Republike Slovenije,Venezuela,7,5,1992
Priznanje,KP,Priznanje Republike Slovenije,DLR Koreja,8,5,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Nova Zelandija,8,5,1992
Priznanje,IN,Priznanje Republike Slovenije,Indija,11,5,1992
Priznanje,PK,Priznanje Republike Slovenije,Pakistan,11,5,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,LR Kitajska,12,5,1992
Priznanje,SG,Priznanje Republike Slovenije,Singapur,15,5,1992
Priznanje,JO,Priznanje Republike Slovenije,Jordanija,16,5,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Indija,18,5,1992
Priznanje,BD,Priznanje Republike Slovenije,Bangladeš,19,5,1992
Priznanje,ID,Priznanje Republike Slovenije,Indonezija,20,5,1992
Priznanje,CU,Priznanje Republike Slovenije,Kuba,22,5,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Ruska federacija,25,5,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Maroko,29,5,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Malta,29,6,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Zelenortski otoki,17,8,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Grčija,21,7,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Belorusija,23,7,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,ZDA,11,8,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Bolgarija,18,8,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Turčija,26,8,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Romunija,28,8,1992





